material,cor_material,codigo_barra,grupo,subgrupo,categoria_produto,path_completo,qtde_estoque
03.01.002,40,218223,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218223.jpg,16.0
03.01.0020,01,218627,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218627.jpg,8.0
03.01.0020,40,218829,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218829.jpg,534.0
03.01.0021,00,218827,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218827.jpg,0.0
03.01.001,01,224558,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000224558.jpg,13.0
03.01.001,40,215579,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215579.jpg,101.0
03.01.001,40,215579,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\tratada\0000215579.jpg,101.0
03.01.001,B-60,220267,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000220267.jpg,3.0
03.01.001,V-60,218023,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218023.jpg,77.0
03.01.0017,00,217615,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000217615.jpg,2027.0
03.01.016,12,215507,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215507.jpg,6.0
03.01.012,00,215920,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000215920.jpg,0.0
03.01.0043,00,218794,03 - ZIPER,ZIPER METAL MEDIO,IB,\\192.168.50.80\img_est_mp\Fotos_MP\0000218794.jpg,576.0
